CustomerID,Sex,Age,Marital Status,Number of Dependants,Annual Income,Account Type,Credit Limit,Number of Accounts,Months since Openning,Outstanding Balance,Utilisation Ratio,Total Amount of Transactions,Total Number of Transactions,Number of Contacts over 12 months,Months Inactive over 12 months,Status
1556792762,F,46,Divorced,2,Less than $50K,Silver,1870,4,26,1785,0.955,4347,88,1,3,Active
1436298512,F,44,Married,1,$50K - $70K,Silver,4553,2,31,1538,0.338,4999,95,3,2,Active
1578332612,F,55,Married,0,Less than $50K,Silver,2596,1,44,1929,0.743,4726,87,3,1,Active
1426673012,M,46,Single,1,$70K - $90K,Silver,8766,5,32,0,0,2263,35,3,2,Closed
1429193912,F,44,Divorced,2,Less than $50K,Silver,7065,6,36,990,0.14,3758,65,0,3,Active
1425478262,F,48,Married,4,Unknown,Silver,21416,4,36,0,0,4221,75,2,1,Active
1430601662,M,40,Divorced,2,$50K - $70K,Silver,7566,1,32,1618,0.214,7570,88,2,3,Active
1431406112,M,43,Married,2,$90K - $110K,Silver,2111,5,33,1761,0.834,2112,46,3,3,Closed
1433482562,F,43,Single,4,Less than $50K,Silver,1438.3,5,33,0,0,3932,62,4,2,Active
1434184412,M,60,Married,1,$110K and Over,Silver,21697,6,50,2144,0.099,2117,48,2,1,Active
1422554912,M,47,Unknown,4,Unknown,Silver,18873,3,36,0,0,2021,38,3,3,Closed
1556514212,F,52,Married,1,Less than $50K,Silver,3103,5,42,2517,0.811,4641,80,3,3,Active
1420457462,F,55,Divorced,2,Less than $50K,Silver,1438.3,5,49,680,0.473,4573,93,1,2,Active
1430327312,F,44,Single,4,$50K - $70K,Silver,7881,6,38,2517,0.319,3068,77,3,3,Active
1436772512,M,52,Single,5,$50K - $70K,Gold,17835,4,39,868,0.049,4258,58,2,2,Active
1539445412,F,50,Married,1,Unknown,Silver,5708,5,44,1884,0.33,4914,60,2,2,Active
1430731862,F,44,Married,4,Less than $50K,Silver,4726,4,26,1551,0.328,3658,70,2,1,Active
1425977012,M,32,Unknown,3,$90K - $110K,Silver,15412,3,36,0,0,3993,73,2,5,Active
1426876412,F,42,Married,3,$50K - $70K,Silver,5640,4,29,0,0,4739,80,2,3,Active
1591150712,M,41,Married,3,$90K - $110K,Silver,8376,6,35,1165,0.139,4142,67,1,2,Active
1423072412,M,41,Single,2,$90K - $110K,Silver,28830,4,36,0,0,3533,57,4,2,Active
1557494162,M,50,Single,3,$90K - $110K,Gold,34516,2,41,0,0,15059,118,1,2,Active
1569786962,M,55,Married,1,$90K - $110K,Silver,28751,4,49,2158,0.075,1502,34,3,3,Active
1421460962,F,62,Single,1,Less than $50K,Silver,7075,3,36,1396,0.197,4409,75,2,3,Active
1429608962,F,48,Single,3,$50K - $70K,Silver,2657,5,30,2115,0.796,3580,77,1,2,Active
1420318262,F,42,Single,3,$50K - $70K,Silver,3376,6,33,1661,0.492,4629,75,3,2,Active
1426463312,F,45,Married,0,$50K - $70K,Silver,2759,3,30,0,0,2061,47,4,2,Closed
1602771662,M,50,Single,3,$70K - $90K,Silver,23090,4,44,839,0.036,1198,24,3,2,Active
1440952862,M,52,Single,2,$50K - $70K,Silver,9298,1,41,1898,0.204,8427,87,2,2,Active
1440034412,M,60,Married,1,$110K and Over,Silver,5130,6,46,2048,0.399,4601,88,1,3,Active
1426484312,F,42,Married,3,Less than $50K,Silver,9351,4,36,1482,0.158,5099,60,1,3,Active
1537205162,F,41,Single,4,$50K - $70K,Silver,2375,4,31,1658,0.698,1071,28,3,2,Active
1421766062,M,42,Single,3,$90K - $110K,Silver,6380,3,29,1238,0.194,4119,66,1,1,Active
1579819112,M,49,Married,3,$90K - $110K,Silver,4576,4,40,193,0.042,3100,54,3,2,Closed
1541888612,F,46,Single,2,Less than $50K,Silver,3670,4,33,0,0,4811,68,2,3,Active
1422058412,M,50,Single,4,$50K - $70K,Silver,6943,4,45,600,0.086,4946,80,1,3,Active
1425966812,F,44,Married,4,Less than $50K,Gold,10790,3,37,1930,0.179,1052,16,2,2,Active
1416829562,F,33,Single,3,Less than $50K,Silver,1457,5,36,0,0,2200,45,3,2,Closed
1421872112,M,26,Single,0,Less than $50K,Silver,1775,6,13,1162,0.655,2169,43,4,1,Active
1557642212,F,41,Married,2,$50K - $70K,Silver,1604,1,33,0,0,2264,47,3,3,Closed
1440609812,F,53,Married,3,Less than $50K,Silver,3390,4,35,2180,0.643,4585,78,1,3,Active
1438186712,M,52,Married,0,$70K - $90K,Silver,22720,3,36,793,0.035,1102,27,2,3,Active
1438937162,F,60,Single,0,Unknown,Silver,4546,3,36,0,0,1361,34,2,2,Active
1439647862,F,38,Single,2,Less than $50K,Silver,2703,2,16,0,0,2752,43,2,1,Closed
1643514512,F,40,Married,2,Unknown,Silver,14999,5,28,1123,0.075,3441,69,2,5,Active
1434385112,M,49,Married,4,$70K - $90K,Silver,12938,6,36,661,0.051,1282,32,2,3,Active
1432696412,F,43,Divorced,3,Unknown,Silver,9051,3,37,1557,0.172,4169,72,3,6,Active
1430301362,F,51,Married,2,Less than $50K,Silver,3683,1,43,1039,0.282,4684,86,3,3,Active
1438915862,M,48,Married,3,$90K - $110K,Silver,31501,3,38,0,0,3742,75,3,3,Active
1430783462,F,36,Married,3,Less than $50K,Silver,4824,4,28,2517,0.522,1516,32,2,3,Active
1566045962,M,39,Married,3,$90K - $110K,Silver,18582,6,33,794,0.043,1836,46,4,6,Active
1431553712,F,41,Unknown,2,Less than $50K,Silver,1801,4,36,940,0.522,3797,74,2,1,Active
1420985462,M,54,Single,3,$90K - $110K,Silver,17686,4,36,0,0,2047,46,3,1,Active
1432941362,F,51,Single,2,Less than $50K,Silver,3537,3,36,0,0,4101,80,3,1,Active
1424922512,F,59,Married,1,$50K - $70K,Silver,1944,5,46,1346,0.692,1960,57,3,3,Active
1432796762,M,52,Married,2,$70K - $90K,Silver,3085,5,47,1910,0.619,1531,35,0,3,Active
1579911512,F,46,Married,3,Less than $50K,Silver,2470,5,37,1961,0.794,4519,78,3,1,Active
1428288362,F,59,Married,0,Less than $50K,Silver,2120,2,48,1411,0.666,3882,92,1,2,Active
1439054762,M,52,Single,0,$90K - $110K,Silver,8133,4,43,1942,0.239,3310,76,3,3,Active
1417234412,M,44,Married,2,$70K - $90K,Silver,3828,4,34,1146,0.299,4558,90,4,4,Active
1431941762,M,28,Married,0,Unknown,Silver,2608,4,13,1630,0.625,1822,33,2,1,Active
1417860062,F,34,Single,2,$50K - $70K,Silver,1677,2,36,0,0,4035,87,1,3,Active
1427048162,F,39,Married,0,Less than $50K,Silver,1978,3,30,871,0.44,4299,59,3,2,Active
1436331662,M,37,Single,1,$90K - $110K,Silver,11309,6,24,0,0,4809,71,4,3,Active
1623965762,M,36,Married,0,$70K - $90K,Silver,7667,5,31,0,0,1501,35,2,1,Active
1647161012,F,44,Single,4,Less than $50K,Silver,1438.3,2,40,1169,0.813,4429,78,2,1,Active
1506658712,M,41,Married,3,$90K - $110K,Silver,13535,4,34,1291,0.095,1028,21,1,4,Active
1442352062,M,37,Married,2,$110K and Over,Silver,7607,4,23,2170,0.285,4495,77,3,3,Active
1436086112,F,47,Married,4,Less than $50K,Silver,2178,6,36,1455,0.668,5363,76,4,1,Active
1626484862,F,45,Married,4,Unknown,Silver,24880,4,39,836,0.034,1208,25,2,3,Active
1439800262,F,57,Married,2,$50K - $70K,Silver,3667,2,41,809,0.221,5322,79,3,3,Active
1442090162,M,58,Married,4,$70K - $90K,Silver,12010,5,44,2149,0.179,1700,35,3,1,Active
1605760862,F,53,Married,1,$50K - $70K,Silver,2799,6,47,0,0,4116,88,2,2,Active
1427379062,M,59,Single,1,$70K - $90K,Silver,9944,5,49,1606,0.162,3159,69,4,2,Active
1606736762,M,38,Single,1,$70K - $90K,Silver,14596,5,29,2192,0.15,1300,25,1,2,Active
1542702962,M,33,Married,2,$50K - $70K,Silver,5657,4,20,1792,0.317,1914,46,3,3,Active
1442754662,M,48,Married,3,$90K - $110K,Silver,30579,5,36,1351,0.044,1289,19,3,1,Active
1598955362,F,51,Married,3,Less than $50K,Silver,2238,3,45,1300,0.581,4508,79,3,3,Active
1421649662,M,51,Single,0,$90K - $110K,Silver,34516,1,33,1228,0.036,7854,89,1,3,Active
1577564012,M,58,Married,2,$90K - $110K,Silver,3742,4,39,2517,0.673,16401,121,3,2,Active
1441989812,F,47,Married,4,Less than $50K,Silver,3189,4,37,1863,0.584,4805,76,3,3,Active
1420337612,F,49,Married,1,Less than $50K,Silver,8228,3,36,0,0,4277,80,0,3,Active
1424910662,M,46,Divorced,4,$50K - $70K,Gold,15034,2,36,1356,0.09,7737,84,3,2,Active
1435407512,M,44,Married,2,$90K - $110K,Silver,11910,3,35,2098,0.176,1646,39,2,2,Active
1419648062,F,42,Divorced,3,Unknown,Silver,2369,5,31,1019,0.43,4317,66,2,3,Active
1419094712,F,33,Single,4,Unknown,Silver,12716,6,29,1496,0.118,2412,64,3,2,Active
1432464362,F,35,Married,3,$50K - $70K,Silver,7234,4,36,2000,0.276,4272,83,4,1,Active
1433494862,M,54,Single,1,$90K - $110K,Silver,12813,1,36,1998,0.156,7803,81,3,2,Active
1557363812,M,39,Single,2,$70K - $90K,Silver,6146,1,19,0,0,3645,76,1,2,Active
1424819612,F,39,Single,1,Less than $50K,Silver,1809,5,28,1181,0.653,4452,83,3,3,Active
1434782912,F,62,Single,0,Unknown,Gold,33371,3,51,0,0,3638,67,4,1,Active
1437209462,M,43,Single,3,$90K - $110K,Silver,16351,3,33,1541,0.094,3475,82,2,3,Active
1513983212,M,41,Unknown,4,$50K - $70K,Silver,1605,4,24,0,0,4418,68,2,2,Active
1433374112,F,38,Married,1,$50K - $70K,Silver,5559,1,19,1600,0.288,5344,82,2,1,Active
1425425462,M,55,Single,2,$50K - $70K,Silver,6244,5,36,2517,0.403,1445,40,0,2,Active
1439887112,F,32,Married,1,Less than $50K,Silver,5497,3,20,1735,0.316,16266,124,4,1,Active
1575043412,F,41,Single,2,Less than $50K,Silver,3028,3,30,2270,0.75,4727,78,2,2,Active
1431495062,F,51,Single,4,Unknown,Silver,11221,3,34,1279,0.114,1564,45,2,1,Active
1545416612,F,38,Married,2,$50K - $70K,Silver,6275,3,28,1579,0.252,1585,43,4,3,Active
1427149412,M,44,Unknown,3,$70K - $90K,Silver,1862,3,25,0,0,1226,34,0,3,Active
1427471312,M,27,Divorced,0,$70K - $90K,Silver,13303,2,36,2517,0.189,10219,85,2,3,Closed
1430714012,M,44,Married,3,$50K - $70K,Silver,6327,6,35,0,0,3653,77,1,3,Active
1559990462,F,38,Married,2,Less than $50K,Silver,7049,3,28,0,0,1475,27,3,3,Active
1426101512,M,50,Married,2,$110K and Over,Silver,34516,3,40,1871,0.054,4054,75,1,1,Active
1442580362,M,33,Single,2,$110K and Over,Silver,25033,4,15,2300,0.092,2529,71,2,2,Active
1655911412,M,41,Married,2,$70K - $90K,Silver,3786,1,37,1171,0.309,5369,75,1,2,Active
1439792912,F,43,Married,4,Less than $50K,Silver,1679,6,24,951,0.566,2492,43,3,2,Closed
1436177612,M,50,Married,5,$110K and Over,Silver,13478,2,36,0,0,4738,56,1,2,Active
1577879912,F,39,Divorced,3,Less than $50K,Silver,5494,3,25,1356,0.247,3566,81,1,1,Active
1438984262,F,54,Single,3,Less than $50K,Silver,2830,1,36,1779,0.629,4854,74,1,3,Active
1556387912,M,45,Single,3,$110K and Over,Silver,7135,2,35,2517,0.353,2305,42,5,3,Closed
1560836912,M,38,Married,2,Less than $50K,Silver,8740,4,25,734,0.084,2169,38,3,1,Active
1437041762,F,50,Married,3,$50K - $70K,Silver,1844,4,39,1388,0.753,5056,81,3,3,Active
1424271062,F,41,Single,3,$50K - $70K,Silver,2577,5,22,1582,0.614,4734,75,2,0,Active
1575498662,F,49,Unknown,4,Less than $50K,Silver,3468,6,39,2517,0.726,2494,39,2,3,Closed
1440016712,M,48,Divorced,2,$90K - $110K,Silver,4479,4,40,0,0,4520,63,3,3,Closed
1442856812,F,36,Single,3,Less than $50K,Silver,1558,4,36,261,0.168,2424,40,0,3,Closed
1426885712,F,61,Single,0,Less than $50K,Silver,2207,5,36,2020,0.915,4348,84,3,3,Active
1422387662,M,39,Single,0,$90K - $110K,Diamond,34516,3,32,1793,0.052,4256,82,4,1,Active
1426195112,F,44,Divorced,4,Less than $50K,Silver,2333,5,36,1485,0.637,1198,31,3,3,Active
1436116112,F,44,Married,3,Less than $50K,Silver,4135,5,34,1606,0.388,3334,56,2,3,Active
1558062962,F,54,Single,1,Less than $50K,Silver,1724,4,35,0,0,2725,47,3,3,Closed
1420747412,M,51,Married,4,$70K - $90K,Silver,3451,2,36,2006,0.581,4097,67,2,1,Active
1437886412,F,48,Married,1,Less than $50K,Silver,1832,5,38,748,0.408,4376,87,2,2,Active
1436333762,F,42,Married,4,Less than $50K,Silver,2021,5,34,1281,0.634,4642,97,2,3,Active
1427265512,F,34,Single,2,Less than $50K,Silver,5712,5,24,1955,0.342,2617,54,3,3,Active
1438908662,F,30,Married,0,Less than $50K,Silver,2498,5,23,1632,0.653,2048,35,3,2,Active
1579064462,F,54,Married,2,Less than $50K,Silver,2737,6,46,2517,0.92,1619,37,2,2,Active
1556548862,M,52,Divorced,1,$90K - $110K,Silver,5763,4,42,0,0,2310,48,2,4,Closed
1542216962,F,54,Married,4,Less than $50K,Silver,2444,1,41,1313,0.537,4609,61,2,5,Active
1433366012,F,41,Married,3,Less than $50K,Silver,1956,3,36,1053,0.538,4924,70,1,1,Active
1599655562,M,42,Divorced,4,$70K - $90K,Silver,3263,5,36,1674,0.513,1251,35,2,1,Active
1441028912,M,56,Single,1,$70K - $90K,Silver,15219,6,36,2281,0.15,7625,78,3,4,Closed
1432672562,F,49,Divorced,3,$50K - $70K,Silver,5238,5,36,1365,0.261,1834,43,2,1,Active
1624844762,F,61,Married,0,Less than $50K,Silver,2122,3,56,554,0.261,949,17,3,3,Closed
1419715262,F,46,Married,4,Less than $50K,Silver,1438.3,3,36,981,0.682,1114,33,4,3,Active
1436599412,F,59,Single,1,Less than $50K,Silver,4085,1,50,0,0,7597,71,3,0,Closed
1614791162,M,51,Single,4,$110K and Over,Gold,34516,2,46,1279,0.037,4615,49,3,3,Closed
1439495162,M,52,Single,3,$70K - $90K,Silver,9137,4,36,1729,0.189,4626,77,2,2,Active
1436096912,F,53,Unknown,2,Less than $50K,Silver,2199,1,35,693,0.315,7342,86,3,2,Active
1608321212,M,60,Married,1,Less than $50K,Gold,13399,2,55,1456,0.109,16493,122,3,2,Active
1442354612,F,59,Married,1,Less than $50K,Silver,2697,3,36,1410,0.523,4489,58,1,1,Active
1557140012,F,50,Single,2,$50K - $70K,Silver,1438.3,4,43,0,0,4512,77,3,1,Active
1440149912,F,49,Married,4,Less than $50K,Silver,1438.3,3,36,666,0.463,4759,90,3,3,Active
1422333062,F,49,Divorced,1,Unknown,Gold,34516,1,43,1163,0.034,3941,71,1,3,Active
1424478962,M,47,Married,3,$110K and Over,Silver,11629,3,28,802,0.069,3752,78,2,2,Active
1627632062,F,53,Married,1,Less than $50K,Silver,2324,6,48,1576,0.678,1272,37,2,3,Active
1431219962,F,45,Married,2,Less than $50K,Silver,4202,6,36,2201,0.524,4385,78,3,1,Active
1440683162,F,47,Single,2,Less than $50K,Silver,2363,3,36,494,0.209,3887,71,2,1,Active
1627618562,F,50,Married,2,$50K - $70K,Silver,1438.3,6,45,0,0,4670,82,3,3,Active
1419474062,M,35,Married,2,$90K - $110K,Silver,3023,3,22,1435,0.475,1920,34,4,1,Active
1433025362,F,50,Single,0,Less than $50K,Silver,2595,4,38,2353,0.907,2526,41,3,3,Closed
1587439262,M,39,Single,0,$70K - $90K,Silver,10452,6,33,1120,0.107,3592,79,0,2,Active
1423313162,M,46,Unknown,3,$70K - $90K,Silver,2179,6,36,1632,0.749,4025,69,4,3,Active
1439272862,M,51,Single,2,$110K and Over,Gold,34516,2,31,585,0.017,13534,104,2,2,Active
1435205012,M,50,Married,2,$70K - $90K,Silver,23223,2,43,628,0.027,7358,87,1,2,Active
1419030962,M,49,Unknown,3,$70K - $90K,Silver,9551,3,36,1833,0.192,3213,52,2,2,Active
1416718412,F,47,Single,3,Less than $50K,Silver,1438.3,4,38,0,0,3511,64,3,2,Active
1431151562,M,43,Married,4,$110K and Over,Gold,34516,1,36,1816,0.053,15226,113,1,2,Active
1443031712,M,35,Divorced,0,$50K - $70K,Silver,5619,6,36,1504,0.268,2808,72,2,3,Active
1435321562,M,49,Single,4,$110K and Over,Gold,34516,2,36,0,0,7962,99,2,2,Active
1561271012,F,58,Married,0,$50K - $70K,Silver,2194,2,47,1302,0.593,4962,81,1,2,Active
1589167112,M,52,Single,2,$70K - $90K,Silver,2749,4,37,1380,0.502,3882,90,3,3,Active
1431648062,M,32,Married,1,Less than $50K,Silver,3568,4,14,2175,0.61,1913,35,2,2,Active
1434540962,M,61,Married,0,$70K - $90K,Silver,3352,4,49,1713,0.511,1952,50,4,3,Active
1433269562,F,49,Single,3,Less than $50K,Silver,2802,2,36,2363,0.843,1295,40,0,2,Active
1433436212,M,58,Single,3,$90K - $110K,Silver,3355,6,36,1878,0.56,4578,84,3,2,Active
1422469262,F,47,Single,5,Less than $50K,Silver,1636,2,36,0,0,2235,35,2,3,Closed
1417125512,F,42,Divorced,3,Less than $50K,Silver,3714,5,36,2517,0.678,4715,85,3,2,Active
1427690612,F,41,Married,3,Unknown,Gold,34516,5,34,2053,0.059,1487,26,3,3,Active
1424055962,M,42,Married,4,$90K - $110K,Gold,34516,1,35,1420,0.041,14672,110,3,2,Active
1439302862,M,46,Married,2,$70K - $90K,Silver,13768,6,35,763,0.055,1390,44,3,3,Active
1423709612,M,46,Married,2,$70K - $90K,Silver,5746,3,36,1572,0.274,3446,56,2,2,Active
1602751712,M,49,Divorced,4,$50K - $70K,Silver,1922,3,43,710,0.369,2920,46,3,2,Active
1432451462,F,45,Single,3,Unknown,Silver,4028,3,36,710,0.176,791,22,3,3,Closed
1440489512,M,45,Single,4,Less than $50K,Silver,1963,5,36,1549,0.789,3718,75,3,2,Active
1442393762,M,48,Unknown,4,$90K - $110K,Silver,4438,6,40,2472,0.557,1725,60,2,2,Active
1433513612,M,43,Married,4,$110K and Over,Silver,17228,3,30,1331,0.077,2229,44,3,2,Closed
1443017462,M,54,Unknown,1,$90K - $110K,Silver,6249,4,46,2517,0.403,3988,68,4,1,Active
1438661762,M,56,Married,4,$70K - $90K,Silver,4535,6,43,0,0,2342,40,6,2,Closed
1438592912,F,63,Single,1,Unknown,Silver,16312,4,55,520,0.032,4366,68,1,3,Active
1626310262,M,49,Married,4,$90K - $110K,Silver,31091,2,44,966,0.031,14565,108,3,3,Active
1427332562,M,56,Single,2,$50K - $70K,Silver,14344,2,48,2014,0.14,7359,85,1,2,Active
1578614012,M,44,Married,0,$50K - $70K,Gold,22226,2,34,1864,0.084,8753,97,2,1,Active
1557417062,M,43,Married,4,$70K - $90K,Silver,6231,3,24,0,0,1448,30,4,5,Active
1426654262,M,36,Married,2,$70K - $90K,Silver,7712,5,29,2517,0.326,1845,40,3,3,Active
1590478412,F,51,Married,2,$50K - $70K,Silver,5930,3,45,0,0,2041,32,4,2,Active
1438751162,F,42,Single,3,Less than $50K,Silver,6275,6,36,0,0,4308,75,1,1,Active
1439072162,F,26,Unknown,0,Less than $50K,Silver,2163,3,14,1942,0.898,4380,57,1,2,Active
1434401312,F,53,Married,2,$50K - $70K,Silver,2075,6,34,1469,0.708,2556,49,1,2,Active
1440639362,M,43,Single,2,$90K - $110K,Silver,5858,2,35,961,0.164,7916,82,2,2,Active
1420431062,M,63,Single,1,$70K - $90K,Silver,23355,2,54,1061,0.045,8634,95,3,3,Active
1442060612,F,40,Married,4,$50K - $70K,Silver,11494,4,28,1160,0.101,3353,86,3,1,Active
1578966512,M,39,Married,2,$50K - $70K,Silver,2220,5,30,0,0,2859,55,3,3,Closed
1439715962,M,41,Single,4,$70K - $90K,Silver,4475,6,28,0,0,3367,66,4,1,Active
1439778062,F,38,Married,3,Less than $50K,Silver,1757,5,36,1352,0.769,4121,81,3,4,Active
1439482262,F,62,Divorced,0,$50K - $70K,Silver,11352,3,50,2517,0.222,4021,56,4,2,Active
1442320262,M,38,Single,2,$70K - $90K,Silver,2346,3,30,0,0,3982,72,4,2,Active
1429979312,M,42,Married,3,$70K - $90K,Silver,4953,2,36,2039,0.412,4026,53,3,2,Active
1561632362,F,57,Unknown,3,Less than $50K,Silver,2781,6,39,992,0.357,4577,81,2,4,Active
1425777512,F,44,Unknown,1,Less than $50K,Silver,1780,3,32,1338,0.752,4268,87,3,3,Active
1424121962,M,28,Single,0,Less than $50K,Silver,3480,3,19,0,0,2744,75,4,3,Active
1652495762,M,50,Single,2,$90K - $110K,Gold,34516,3,40,0,0,7661,79,6,4,Closed
1588550612,M,51,Single,3,$90K - $110K,Silver,25670,3,45,0,0,2709,51,3,3,Closed
1505537612,F,43,Divorced,4,Unknown,Silver,11536,5,36,2074,0.18,4106,81,2,2,Active
1417827062,F,50,Married,2,Less than $50K,Silver,2046,3,39,0,0,3446,71,2,3,Active
1423693562,M,48,Single,3,$90K - $110K,Silver,13551,6,35,1294,0.095,1388,37,0,1,Active
1435978562,F,43,Single,3,$50K - $70K,Silver,2594,5,36,1686,0.65,4503,67,4,2,Active
1432867712,M,38,Divorced,2,$50K - $70K,Silver,11209,3,28,1165,0.104,4614,96,4,3,Active
1427559812,F,46,Divorced,0,Unknown,Silver,6853,3,36,1679,0.245,3543,52,2,3,Active
1437334112,M,44,Single,5,$70K - $90K,Gold,34140,2,36,0,0,8177,76,4,3,Closed
1430003012,M,38,Unknown,4,$90K - $110K,Gold,34516,2,36,1132,0.033,9389,106,2,1,Active
1643783762,F,50,Single,1,Unknown,Silver,1970,6,46,1477,0.75,2493,44,3,4,Closed
1429209362,F,39,Married,1,Less than $50K,Silver,1462,1,36,0,0,1998,36,3,2,Closed
1505908262,M,37,Married,4,$90K - $110K,Silver,2846,6,26,1818,0.639,1473,37,3,2,Active
1602079712,M,38,Single,2,$90K - $110K,Silver,3192,6,32,2517,0.789,4236,87,3,2,Active
1442095262,F,51,Married,3,Less than $50K,Silver,2943,6,32,2131,0.724,4554,75,3,3,Active
1419562562,F,53,Married,3,Less than $50K,Silver,1438.3,4,43,0,0,4075,71,4,3,Active
1434685262,F,51,Single,3,Unknown,Diamond,34516,1,39,1873,0.054,7703,104,2,1,Active
1533646112,M,61,Single,0,$110K and Over,Silver,4650,6,46,1162,0.25,7976,74,3,3,Closed
1577684612,F,42,Divorced,2,Less than $50K,Silver,2120,5,26,1527,0.72,4741,86,3,2,Active
1589085812,F,56,Married,1,$50K - $70K,Silver,3485,1,38,1465,0.42,4776,87,1,2,Active
1649125562,F,35,Single,3,Less than $50K,Silver,1678,1,31,0,0,2475,61,4,3,Closed
1475893862,M,58,Married,2,$70K - $90K,Silver,14976,4,51,1463,0.098,1599,36,2,2,Active
1437744362,M,47,Married,4,$70K - $90K,Silver,4592,5,34,1635,0.356,1772,52,3,2,Active
1416650462,F,49,Married,3,Less than $50K,Silver,1522,4,36,0,0,2241,36,4,2,Closed
1440775262,M,45,Unknown,3,$90K - $110K,Silver,20958,2,31,1936,0.092,14314,99,4,1,Active
1577498762,M,50,Divorced,0,$50K - $70K,Silver,5530,5,29,2034,0.368,4836,68,2,3,Active
1432201412,F,46,Unknown,5,Unknown,Silver,5496,2,36,1816,0.33,7985,93,1,3,Active
1558829612,F,55,Single,1,Less than $50K,Silver,2376,4,37,1969,0.829,4301,79,3,3,Active
1537290362,F,44,Divorced,5,Less than $50K,Silver,3842,2,38,2459,0.64,13598,119,3,1,Active
1635854162,F,50,Married,2,Unknown,Silver,5660,6,45,2401,0.424,1932,35,4,1,Active
1559487812,F,47,Single,2,Less than $50K,Silver,2493,6,32,831,0.333,4274,68,3,1,Active
1542887162,M,49,Married,2,$70K - $90K,Silver,2608,5,37,1589,0.609,2073,47,3,3,Active
1632168512,M,35,Unknown,3,$70K - $90K,Silver,8547,5,30,1666,0.195,1311,33,3,1,Active
1537428812,M,51,Divorced,5,$110K and Over,Silver,34516,6,45,0,0,8173,91,6,3,Closed
1428099512,F,53,Single,3,$50K - $70K,Silver,4942,2,45,2119,0.429,7460,85,1,2,Active
1430342012,F,47,Married,3,Less than $50K,Silver,7051,5,36,0,0,1451,37,2,2,Active
1427100362,M,26,Single,0,$50K - $70K,Silver,2657,5,36,1611,0.606,2349,41,3,2,Active
1428428762,F,38,Single,3,Unknown,Silver,5260,1,36,1706,0.324,2142,57,2,3,Closed
1434479462,M,54,Single,2,$70K - $90K,Silver,14265,3,38,1878,0.132,3982,58,5,3,Active
